query_id,doc_id,relevance
q001,d001,3
q001,d002,2
q001,d003,1
q001,d015,0
q001,d013,0
q001,d029,0
q001,d024,0
q001,d009,0
q002,d005,3
q002,d004,3
q002,d006,1
q002,d033,0
q002,d031,0
q002,d018,0
q002,d016,0
q002,d030,0
q003,d007,3
q003,d008,2
q003,d009,1
q003,d028,0
q003,d014,0
q003,d006,0
q003,d025,0
q003,d032,0
q004,d010,3
q004,d011,2
q004,d012,1
q004,d034,0
q004,d035,0
q004,d024,0
q004,d019,0
q004,d001,0
q005,d013,3
q005,d014,2
q005,d015,1
q005,d028,0
q005,d030,0
q005,d001,0
q005,d022,0
q005,d007,0
q006,d016,3
q006,d017,2
q006,d018,1
q006,d004,0
q006,d006,0
q006,d028,0
q006,d021,0
q006,d025,0
q007,d019,3
q007,d020,2
q007,d021,1
q007,d034,0
q007,d036,0
q007,d022,0
q007,d016,0
q007,d011,0
q008,d022,3
q008,d024,2
q008,d023,1
q008,d017,0
q008,d020,0
q008,d006,0
q008,d003,0
q008,d027,0
q009,d025,3
q009,d027,2
q009,d026,1
q009,d009,0
q009,d021,0
q009,d012,0
q009,d034,0
q009,d036,0
q010,d028,3
q010,d029,2
q010,d030,1
q010,d014,1
q010,d002,0
q010,d016,0
q010,d031,0
q010,d007,0
q011,d031,3
q011,d033,2
q011,d032,1
q011,d004,0
q011,d006,0
q011,d030,0
q011,d024,0
q011,d010,0
q012,d034,3
q012,d035,2
q012,d036,1
q012,d018,0
q012,d020,0
q012,d027,0
q012,d011,0
q012,d001,0
